trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
445,False,"{'a': 0.1, 'e': 0.02843882471418451}",20,0,27.550089563009763,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
446,False,"{'a': 0.1, 'e': 0.028212221736927983}",20,6,23.32750537689746,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.1, 'e': 0.027987424351492412}",30,23,11.332898330879408,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.1, 'e': 0.0277644181707684}",20,13,14.19191155201723,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.1, 'e': 0.027543188922284252}",30,6,29.8080406180605,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.1, 'e': 0.027323722447292562}",25,11,-27.785654657928553,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
451,False,"{'a': 0.1, 'e': 0.027106004699864017}",30,13,32.29309287983989,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.1, 'e': 0.026890021745988466}",25,13,20.62136376053809,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.1, 'e': 0.02667575976268314}",30,16,-15.92405419810405,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
454,False,"{'a': 0.1, 'e': 0.02646320503710797}",30,16,24.71147691257881,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.1, 'e': 0.026252343965687965}",20,8,24.275640530496485,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.1, 'e': 0.026043163053242585}",30,16,26.733219932711005,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.1, 'e': 0.025835648912122033}",20,14,11.88499895044968,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.1, 'e': 0.025629788261350442}",20,12,14.984282582934522,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.1, 'e': 0.0254255679257759}",30,16,29.758458180462124,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.1, 'e': 0.025222974835227216}",20,11,14.098144715912287,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.1, 'e': 0.02502199602367745}",25,15,18.31138253745619,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.1, 'e': 0.024822618628414058}",30,16,3.171493715850746,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
463,False,"{'a': 0.1, 'e': 0.024624829889215688}",20,16,8.580500948617525,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.1, 'e': 0.02442861714753552}",30,18,23.083385321037234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.1, 'e': 0.024233967845691116}",20,8,23.467019728667864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.1, 'e': 0.024040869526060715}",20,8,20.576568500761375,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.1, 'e': 0.02384930983028595}",20,8,13.18716933869922,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.1, 'e': 0.023659276498480906}",20,10,19.543837739285056,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.1, 'e': 0.02347075736844748}",25,11,22.802337618326394,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.1, 'e': 0.023283740374897003}",30,16,28.09408846391437,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.1, 'e': 0.023098213548678054}",25,15,15.129458799924075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.1, 'e': 0.022914165016010426}",30,17,22.46244271354595,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.1, 'e': 0.022731582997725208}",35,24,18.97952698102403,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.1, 'e': 0.02255045580851091}",25,7,32.20099822647403,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.1, 'e': 0.022370771856165594}",20,9,-19.99902753919255,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
476,False,"{'a': 0.1, 'e': 0.02219251964085498}",20,10,17.507640738800035,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.1, 'e': 0.022015687754376442}",20,11,18.84108204348273,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.1, 'e': 0.02184026487942889}",30,11,30.13742284646373,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.1, 'e': 0.021666239788888444}",30,15,29.568447132488853,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.1, 'e': 0.021493601345089926}",20,16,8.820875833065369,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.1, 'e': 0.021322338499113982}",20,8,20.659058468562776,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.1, 'e': 0.02115244029008002}",30,8,41.00512168991888,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.1, 'e': 0.020983895844444673}",25,15,17.27849198843271,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.1, 'e': 0.020816694375305887}",25,15,20.58362888768054,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.1, 'e': 0.02065082518171257}",20,1,25.18162936596821,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.1, 'e': 0.020486277647979712}",20,13,13.506855171674893,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.1, 'e': 0.020323041243008988}",25,13,21.570768506438032,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
